,usage,dataset,scale,name,HR,LR
12,train,General100,2,im_008.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_008.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_008.png
13,train,General100,4,im_008.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_008.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_008.png
14,train,General100,8,im_008.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_008.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_008.png
15,train,General100,2,im_034.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_034.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_034.png
16,train,General100,4,im_034.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_034.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_034.png
17,train,General100,8,im_034.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_034.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_034.png
18,train,General100,2,im_020.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_020.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_020.png
19,train,General100,4,im_020.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_020.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_020.png
20,train,General100,8,im_020.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_020.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_020.png
21,train,General100,2,im_021.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_021.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_021.png
22,train,General100,4,im_021.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_021.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_021.png
23,train,General100,8,im_021.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_021.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_021.png
24,train,General100,2,im_035.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_035.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_035.png
25,train,General100,4,im_035.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_035.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_035.png
26,train,General100,8,im_035.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_035.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_035.png
27,train,General100,2,im_009.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_009.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_009.png
28,train,General100,4,im_009.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_009.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_009.png
29,train,General100,8,im_009.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_009.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_009.png
30,train,General100,2,im_031.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_031.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_031.png
31,train,General100,4,im_031.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_031.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_031.png
32,train,General100,8,im_031.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_031.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_031.png
33,train,General100,2,im_025.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_025.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_025.png
34,train,General100,4,im_025.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_025.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_025.png
35,train,General100,8,im_025.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_025.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_025.png
36,train,General100,2,im_019.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_019.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_019.png
37,train,General100,4,im_019.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_019.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_019.png
38,train,General100,8,im_019.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_019.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_019.png
39,train,General100,2,im_018.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_018.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_018.png
40,train,General100,4,im_018.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_018.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_018.png
41,train,General100,8,im_018.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_018.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_018.png
42,train,General100,2,im_024.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_024.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_024.png
43,train,General100,4,im_024.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_024.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_024.png
44,train,General100,8,im_024.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_024.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_024.png
45,train,General100,2,im_030.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_030.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_030.png
46,train,General100,4,im_030.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_030.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_030.png
47,train,General100,8,im_030.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_030.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_030.png
48,train,General100,2,im_026.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_026.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_026.png
49,train,General100,4,im_026.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_026.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_026.png
50,train,General100,8,im_026.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_026.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_026.png
51,train,General100,2,im_032.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_032.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_032.png
52,train,General100,4,im_032.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_032.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_032.png
53,train,General100,8,im_032.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_032.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_032.png
54,train,General100,2,im_033.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_033.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_033.png
55,train,General100,4,im_033.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_033.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_033.png
56,train,General100,8,im_033.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_033.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_033.png
57,train,General100,2,im_027.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_027.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_027.png
58,train,General100,4,im_027.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_027.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_027.png
59,train,General100,8,im_027.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_027.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_027.png
60,train,General100,2,im_068.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_068.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_068.png
61,train,General100,4,im_068.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_068.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_068.png
62,train,General100,8,im_068.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_068.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_068.png
63,train,General100,2,im_040.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_040.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_040.png
64,train,General100,4,im_040.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_040.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_040.png
65,train,General100,8,im_040.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_040.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_040.png
66,train,General100,2,im_054.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_054.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_054.png
67,train,General100,4,im_054.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_054.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_054.png
68,train,General100,8,im_054.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_054.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_054.png
69,train,General100,2,im_083.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_083.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_083.png
70,train,General100,4,im_083.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_083.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_083.png
71,train,General100,8,im_083.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_083.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_083.png
72,train,General100,2,im_097.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_097.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_097.png
73,train,General100,4,im_097.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_097.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_097.png
74,train,General100,8,im_097.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_097.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_097.png
75,train,General100,2,im_096.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_096.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_096.png
76,train,General100,4,im_096.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_096.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_096.png
77,train,General100,8,im_096.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_096.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_096.png
78,train,General100,2,im_082.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_082.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_082.png
79,train,General100,4,im_082.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_082.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_082.png
80,train,General100,8,im_082.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_082.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_082.png
81,train,General100,2,im_055.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_055.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_055.png
82,train,General100,4,im_055.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_055.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_055.png
83,train,General100,8,im_055.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_055.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_055.png
84,train,General100,2,im_041.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_041.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_041.png
85,train,General100,4,im_041.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_041.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_041.png
86,train,General100,8,im_041.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_041.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_041.png
87,train,General100,2,im_069.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_069.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_069.png
88,train,General100,4,im_069.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_069.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_069.png
89,train,General100,8,im_069.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_069.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_069.png
90,train,General100,2,im_057.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_057.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_057.png
91,train,General100,4,im_057.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_057.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_057.png
92,train,General100,8,im_057.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_057.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_057.png
93,train,General100,2,im_043.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_043.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_043.png
94,train,General100,4,im_043.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_043.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_043.png
95,train,General100,8,im_043.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_043.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_043.png
96,train,General100,2,im_094.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_094.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_094.png
97,train,General100,4,im_094.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_094.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_094.png
98,train,General100,8,im_094.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_094.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_094.png
99,train,General100,2,im_080.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_080.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_080.png
100,train,General100,4,im_080.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_080.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_080.png
101,train,General100,8,im_080.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_080.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_080.png
102,train,General100,2,im_081.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_081.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_081.png
103,train,General100,4,im_081.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_081.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_081.png
104,train,General100,8,im_081.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_081.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_081.png
105,train,General100,2,im_095.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_095.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_095.png
106,train,General100,4,im_095.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_095.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_095.png
107,train,General100,8,im_095.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_095.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_095.png
108,train,General100,2,im_042.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_042.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_042.png
109,train,General100,4,im_042.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_042.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_042.png
110,train,General100,8,im_042.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_042.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_042.png
111,train,General100,2,im_056.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_056.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_056.png
112,train,General100,4,im_056.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_056.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_056.png
113,train,General100,8,im_056.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_056.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_056.png
114,train,General100,2,im_052.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_052.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_052.png
115,train,General100,4,im_052.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_052.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_052.png
116,train,General100,8,im_052.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_052.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_052.png
117,train,General100,2,im_046.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_046.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_046.png
118,train,General100,4,im_046.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_046.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_046.png
119,train,General100,8,im_046.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_046.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_046.png
120,train,General100,2,im_091.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X2/im_091.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X2/im_091.png
121,train,General100,4,im_091.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X4/im_091.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X4/im_091.png
122,train,General100,8,im_091.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/HR_matlab/X8/im_091.png,/usr/xtmp/superresoluter/superresolution/imgs/source_image/train/General100/LR_matlab/X8/im_091.png
